,riesgo,retorno,phi
64,0.0006352904176608342,6.396583406129887e-05,158.48931924611142
65,0.0005661878864781273,5.700806956176387e-05,177.82794100389228
66,0.0005046316936431799,5.081012759418509e-05,199.52623149688787
67,0.00044974985401106666,4.5284209753964166e-05,223.872113856834
68,0.00040083361368681167,4.035895344517814e-05,251.18864315095797
69,0.0003572322949432521,3.596884343998104e-05,281.8382931264455
70,0.0003184015342055379,3.205906958110731e-05,316.22776601683796
71,0.00028377544377576234,2.8572653458070532e-05,354.8133892335753
72,0.00025291510306023904,2.546540143817615e-05,398.1071705534973
73,0.00022541098029594072,2.269607877260122e-05,446.683592150963
74,0.0002008827139632222,2.0226387589908335e-05,501.18723362727246
75,0.00017904211118951116,1.802731099528715e-05,562.341325190349
76,0.0001595756030218977,1.6067276087448222e-05,630.957344480193
77,0.0001422240885570081,1.4320194663226307e-05,707.945784384138
78,0.00012674406358510385,1.2761548646344365e-05,794.3282347242813
79,0.000112968604362462,1.1374531677793148e-05,891.2509381337459
80,0.00010068653606410134,1.0137880375062359e-05,1000.0
81,8.97377221201911e-05,9.035471153352866e-06,1122.018454301963
82,7.997346165481078e-05,8.052331649208374e-06,1258.9254117941662
83,7.127971289328997e-05,7.176979467365862e-06,1412.5375446227554
84,6.352918927238225e-05,6.396598258523798e-06,1584.893192461114
85,5.662065580772621e-05,5.700994967850239e-06,1778.2794100389228
86,5.045829095252259e-05,5.08052147781815e-06,1995.2623149688789
87,4.497375394165835e-05,4.528296972307354e-06,2238.7211385683377
88,4.008415116354431e-05,4.03597487164208e-06,2511.886431509582
89,3.5725210761647685e-05,3.597083853441108e-06,2818.382931264455
90,3.1838265394525566e-05,3.205716837146263e-06,3162.2776601683795
91,2.837753626015368e-05,2.8572645284771457e-06,3548.133892335753
92,2.5291433562913953e-05,2.5465324166409748e-06,3981.071705534969
93,2.254088780629987e-05,2.269586709937515e-06,4466.835921509635
94,2.0089404087217108e-05,2.022752825736731e-06,5011.872336272725
95,1.7904592879090088e-05,1.8027695428616061e-06,5623.413251903491
96,1.595749381039561e-05,1.6067209133111755e-06,6309.57344480193
97,1.4222220821882495e-05,1.4320005328400524e-06,7079.457843841374
98,1.2675653582775357e-05,1.2762804711471095e-06,7943.282347242822
99,1.1297216913519943e-05,1.1374890637621185e-06,8912.509381337459
